case_id,claim_type,region_id,claim_amount,policy_age_days,prior_claims,complexity,review_minutes,broker_id,garage_id,device_id,entity_risk_score,p_fraud,ring_id_latent,severity_L,review_cost,v_i
0,auto,1,3560.230648406188,3618,0,0.840755781880727,49,9,3,17,0.18749119110265333,0.05206257252944704,0,1068.0691945218564,49.0,-18.416463551555772
1,health,0,5940.482441730947,3255,2,1.4571006095973886,86,0,9,13,0.10655821835356594,0.0984423670072909,0,1188.0964883461895,86.0,-21.672533199782976
2,auto,3,4609.22975715591,2689,0,0.5714358388978249,40,7,11,9,-0.20157483116672045,0.04296596822849453,0,1382.768927146773,40.0,-7.323396814874258
3,auto,0,3298.6363431211607,3034,0,1.5115055022847708,72,0,11,13,-0.021220017413515993,0.0712658818315905,2,989.5909029363481,72.0,-33.2117624073467
4,auto,5,3327.9321223729758,3410,0,1.0317047174156109,56,0,10,15,-0.06845107101588957,0.06893723701273595,1,998.3796367118927,56.0,-18.14595649541667
5,home,2,4912.439475435156,733,1,1.010721022408046,63,4,1,22,-0.03860439219873618,0.06398093086323679,0,1964.9757901740625,63.0,6.146539098483444
6,auto,5,3040.5077336455033,486,2,0.756420085915254,62,1,11,33,-0.2950024025153008,0.10518821383936665,2,912.1523200936509,62.00000000000001,-9.228779684953054
7,auto,4,14539.30165411743,1532,2,0.48779529935704896,53,6,9,33,-0.04460259326040189,0.15503990788772695,0,4361.790496235229,53.0,318.93837821903
8,auto,0,2438.172078161606,918,0,0.9430669278092824,53,7,9,24,0.022041689175321892,0.03798778016978093,0,731.4516234484818,53.0,-37.71757708798533
9,health,4,2069.9511486955726,2203,0,1.3933512557774257,68,1,3,27,0.12413644346744152,0.05331019578313405,3,413.9902297391145,68.0,-55.86155489016674
10,home,1,18072.525159076133,3501,0,0.8711128651241893,50,0,3,2,0.22813705112300892,0.16728263942906896,1,7229.010063630453,50.0,615.1083361468723
11,health,3,2234.83340335818,608,0,0.5187864670705064,38,1,6,22,-0.025774861692991383,0.04898817052962328,3,446.966680671636,38.0,-25.95715601440902
12,home,3,6589.663714979359,3023,0,1.000029537581995,55,3,2,5,0.13953881630452958,0.101127126886925,2,2635.8654859917438,55.0,91.60662690231433
13,auto,3,4501.723506633029,2087,0,0.6106559848058037,41,0,10,4,0.03448385367280118,0.05143746486306561,0,1350.5170519899086,41.0,-2.793054625213969
14,health,0,1127.4424258359409,3056,4,0.8977400849687558,83,8,8,5,0.20353036930407825,0.09422156134082242,0,225.48848516718817,83.0,-71.31476757474385
15,auto,1,8178.962478197779,1879,0,0.9171024074216105,52,6,7,9,-0.2112316105641535,0.05599407418789496,0,2453.6887434593336,52.0,23.565616244395585
16,auto,1,1385.4815110882685,606,0,0.46314850827935183,36,4,6,14,-0.13873272035606243,0.02530749851167139,0,415.6444533264805,36.0,-30.214593238830595
17,auto,2,2040.4095349421775,1388,0,1.4550156081446355,70,6,10,34,-0.04464705512735158,0.03300618640157767,0,612.1228604826532,70.0,-58.887887321433446
18,auto,2,4635.492241867877,3505,1,0.896200166262852,59,8,9,25,0.004895547645434635,0.07075889737350534,0,1390.6476725603632,59.0,-4.879617230028458
19,auto,1,1904.4204342577555,2683,2,1.4099364827135616,85,1,3,28,0.14075196815752347,0.11874231774184663,3,571.3261302773266,85.0,-47.68767610741451
20,health,0,2081.533329623325,1487,3,0.5742039477166053,64,4,11,5,-0.3153386227231451,0.09996551615497717,2,416.30666592466497,64.0,-41.11102909414576
21,home,2,7205.645085210038,1703,2,0.3,46,8,11,20,-0.18956558232640056,0.15189425668628645,2,2882.2580340840154,46.0,194.78914291589786
22,auto,3,2659.7329078804664,764,0,1.081507307048009,57,6,9,30,-0.10597344113132623,0.03567125995344284,0,797.9198723641399,57.0,-41.345456045984456
23,auto,4,3357.1887656832364,1332,0,1.1341878525237232,59,0,11,22,-0.09714150368202824,0.04018909252114462,0,1007.1566297049709,59.0,-36.7378089640265
24,auto,2,8223.905946905646,646,2,1.0039991194462308,71,5,7,26,-0.2799840576580236,0.16375007716669837,1,2467.1717840716938,71.0,151.19976351388243
25,health,5,990.5287128599305,2327,1,1.0377581555200615,64,0,5,28,-0.12032747545789167,0.025254823132365,0,198.1057425719861,64.0,-61.248280980411266
26,auto,4,1509.1428725707037,1154,0,1.1834657449844699,61,1,2,39,-0.12094349214803887,0.045513982784730754,2,452.7428617712111,61.0,-49.66662805088945
27,auto,4,5356.545202189505,3055,2,1.2660465798815488,80,6,10,34,-0.04464705512735158,0.10020825698094249,0,1606.9635606568515,80.0,8.567059594921687
28,auto,0,3298.4690725176415,3119,0,0.8621905897213997,50,7,3,26,0.24597938944534267,0.05263462557407685,0,989.5407217552925,50.0,-21.353742041059625
29,auto,0,5745.863439739013,24,1,0.48123511089501275,44,2,10,9,0.010881620712916568,0.14032021864487756,0,1723.759031921704,44.0,89.0330343376848
30,home,0,5059.735864212333,443,2,0.7306906916175064,61,7,1,19,0.16503396485117552,0.16865546453138733,1,2023.8943456849331,61.0,126.73746256866735
31,health,2,1286.5657572629373,570,0,0.8746941591739498,50,0,8,20,0.1599682513422859,0.025726734643443265,0,257.3131514525875,50.0,-46.359095057771135
32,home,5,7598.426618465875,260,0,0.9541196722592957,53,6,5,28,-0.138899526499542,0.0521428688136976,0,3039.3706473863504,53.0,34.164827718578294
33,auto,2,2714.47778339878,339,1,1.149761654243221,68,4,2,21,-0.1740753793225026,0.07982062912637322,2,814.343335019634,68.0,-32.24923147062514
34,home,1,11388.205003442621,943,1,0.9541018644288293,61,7,10,10,-0.10905830549435669,0.14522762892364813,1,4555.282001377049,61.0,302.85404227620757
35,auto,0,2286.7489879795394,1115,1,1.1098678740101438,66,1,4,33,-0.06244352796746342,0.04807912696031113,0,686.0246963938617,66.0,-47.85909233829384
36,home,1,3070.4196719708943,3360,0,1.678030906850331,78,0,1,9,0.15901703406973114,0.04310516139822304,0,1228.1678687883577,78.0,-48.882794185471425
37,home,2,4702.046216607325,2067,1,1.2167098909413876,70,2,9,13,0.15336030053902866,0.07298152181179943,0,1880.81848664293,70.0,5.495747473831628
38,auto,3,3653.666578071221,1923,0,1.5016250773121604,72,3,10,15,-0.0016870691690274234,0.07587986127228943,2,1096.0999734213663,72.0,-26.255447341924622
39,home,1,3601.399095159647,1151,0,1.2143700686925227,62,0,0,34,0.18943771444193683,0.047677729290367614,0,1440.559638063859,62.00000000000001,-24.22456315236876
40,auto,5,3110.575998497419,2065,0,1.3274414939128023,66,3,0,29,0.3241840020686908,0.05451809938200818,0,933.1727995492256,66.0,-38.01885591547368
41,auto,2,1599.9322176712658,3020,0,1.31331474369009,65,2,7,26,-0.06445783387780216,0.028862331909731993,0,479.9796653013797,65.0,-57.38066717458223
42,auto,0,2700.190137035018,284,1,1.1627780733251072,68,9,1,28,0.08961720943088493,0.05878490244578355,0,810.0570411105053,68.0,-41.80948172453938
43,auto,5,3472.5505838242343,2341,0,1.1206258291826183,59,4,1,38,-0.17357106075547615,0.06469352840159345,2,1041.7651751472702,59.0,-21.932494279600498
44,home,3,13379.388121302016,2377,0,0.8451125008377357,49,0,10,35,0.10668126309887971,0.1348679940087353,1,5351.755248520807,49.0,347.97927213654714
45,auto,1,2844.9184606917065,664,0,0.45198432473682,35,1,3,7,0.15137958848136585,0.045447600805341284,0,853.4755382075119,35.0,-13.666371443331656
46,home,2,1427.162972110266,55,0,0.7108196867726166,44,0,10,25,0.011330330914401197,0.0493294031853802,0,570.8651888441065,44.0,-28.511758514255973
47,home,2,5456.0975413230135,2447,0,0.6470123853199123,42,1,4,31,-0.03850303057601038,0.08087755269603168,3,2182.4390165292057,42.0,55.080679610869026
48,health,4,2582.344314754884,1575,1,0.5644348743396237,47,4,2,0,-0.09979687815195432,0.06871480467244974,2,516.4688629509768,47.0,-27.481018629606776
49,health,3,1839.4692562157243,2304,0,1.2587944353053315,64,2,0,24,0.322232623815515,0.03497616101372307,0,367.89385124314487,64.0,-56.92286698262859
